treatment,concentration,replicate,tech replicate,Nuclei - Number of Objects,Positive IE1 in Nuclei,Number of Analyzed Fields,Area Measured,Well area,Scaled Nuclei,Scaled IE1,% infected,IU/well,IU/ml
CAY10602,10,1,1,1660,2,13,0.0442,0.32,2169.5,2.613855422,0.120481928,18.92384016,97.04533414
CAY10602,100,1,1,2679,1,13,0.0442,0.32,2169.5,0.809817096,0.037327361,5.862929201,300.663036
CAY10602,10,2,1,2457,4,13,0.0442,0.32,2169.5,3.531949532,0.162800163,25.57067534,131.1316684
CAY10602,100,2,1,1868,0,13,0.0442,0.32,2169.5,0,0,0,0
CAY10602,10,3,1,2310,13,13,0.0442,0.32,2169.5,12.20930736,0.562770563,88.39317545,453.2983357
CAY10602,100,3,1,1641,1,13,0.0442,0.32,2169.5,1.32205972,0.060938452,9.571473084,490.8447735
CAY10602,10,1,2,1732,3,13,0.0442,0.32,2169.5,3.757794457,0.173210162,27.20575173,139.5166755
CAY10602,100,1,2,1827,1,13,0.0442,0.32,2169.5,1.187465791,0.054734537,8.5970374,440.8737128
CAY10602,10,2,2,2335,0,13,0.0442,0.32,2169.5,0,0,0,0
CAY10602,100,2,2,2031,3,13,0.0442,0.32,2169.5,3.204579025,0.147710487,23.20057213,1189.77293
CAY10602,10,3,2,2328,14,13,0.0442,0.32,2169.5,13.04682131,0.60137457,94.45662484,484.3929479
CAY10602,100,3,2,2153,2,13,0.0442,0.32,2169.5,2.01532745,0.092893637,14.59060597,748.2362038
control,10,1,1,1637,1348,13,0.0442,0.32,2169.5,1786.491142,82.34575443,12933.87252,66327.5514
control,100,1,1,3327,379,13,0.0442,0.32,2169.5,247.1417193,11.39164412,1789.261316,91756.99056
control,10,2,1,2257,1628,13,0.0442,0.32,2169.5,1564.885246,72.13114754,11329.48594,58099.92791
control,100,2,1,3018,307,13,0.0442,0.32,2169.5,220.6880384,10.17229954,1597.741455,81935.45922
control,10,3,1,2597,1883,13,0.0442,0.32,2169.5,1573.033693,72.50673854,11388.47922,58402.45756
control,100,3,1,2932,352,13,0.0442,0.32,2169.5,260.4583902,12.00545703,1885.671603,96701.10785
control,10,1,2,1206,888,13,0.0442,0.32,2169.5,1597.442786,73.6318408,11565.19664,59308.70072
control,100,1,2,2422,298,13,0.0442,0.32,2169.5,266.9327002,12.30388109,1932.544436,99104.84288
control,10,2,2,2248,1484,13,0.0442,0.32,2169.5,1432.178826,66.01423488,10368.71548,53172.8999
control,100,2,2,2563,203,13,0.0442,0.32,2169.5,171.8332033,7.920405774,1244.041291,63796.98927
control,10,3,2,2387,1569,13,0.0442,0.32,2169.5,1426.034981,65.73104315,10324.23516,52944.79568
control,100,3,2,1838,176,13,0.0442,0.32,2169.5,207.7431991,9.57562568,1504.023161,77129.39288
