accession,temporality
P03170,IE
P03176,E
P04288,L
P04291,L
P04293,E
P04294,E
P04296,E
P04413,E
P04485,IE
P04487,L
P04488,L
P06477,L
P06481,E
P06485,L
P06486,E
P06487,L
P06491,L
P06492,L
P08392,IE
P08393,IE
P08543,E
P10186,E
P10187,L
P10188,L
P10189,E
P10190,L
P10191,L
P10192,E
P10193,E
P10200,L
P10201,L
P10202,L
P10205,L
P10208,L
P10209,L
P10210,L
P10211,L
P10215,L
P10216,L
P10218,L
P10219,L
P10220,L
P10221,L
P10224,E
P10225,L
P10226,E
P10228,L
P10229,L
P10230,L
P10231,L
P10233,L
P10234,E
P10235,L
P10236,E
P10238,IE
P10240,L
P23497,host
P29590,host
P32888,L
P35579,normalization
P68331,L
Q07021,host
Q16666,host
Q69091,L
Q71U36,normalization
Q7Z2W4,host
Q8IWB7,host
