accession,gene name,temporal class,# peptides,virion classification*,alias
Q07021,C1QBP,host,4,,
P10201,CVC1,L,3,capsid,UL17
P10209,CVC2,L,4,capsid,UL25
P04296,DBP,E,4,non-structural,UL29;ICP8
P10234,DUT,E,4,tegument,UL50
P10211,gB,L,4,envelope,UL27
P10228,gC,L,4,envelope,UL44
Q69091,gD,L,4,envelope,US6
P04488,gE,L,4,envelope,US8
P06477,gH,L,4,envelope,UL22
P06487,gI,L,2,envelope,US7
P68331,gK,L,2,envelope,UL53
P04288,gM,L,4,envelope,UL10
P10189,HELI,E,2,non-structural,UL5
P08393,ICP0,IE,4,tegument,IE110;RL2
P04485,ICP22,IE,4,non-structural,US1
P08392,ICP4,IE,4,tegument,IE175;RS1
Q16666,IFI16,host,3,,
P06491,MCP,L,4,capsid,UL9
P35579,MYH9,normalization,1,,
P10215,NEC1,L,2,tegument,UL31
P10218,NEC2,L,4,tegument,UL34
P29590,PML,host,1,,
P08543,RIR1,E,3,non-structural,UL39
P10224,RIR2,E,4,non-structural,UL40
P10219,SCP,L,1,capsid,UL35
P23497,SP100,host,2,,
P03176,TK,E,4,tegument,UL23
P32888,TRX1,L,4,capsid,UL38
P10202,TRX2,L,4,capsid,UL18
Q71U36,TUBA1A,normalization,1,,
P04294,UL12,E,4,non-structural,
P04291,UL14,L,1,tegument,
P10200,UL16,L,3,tegument,
P10186,UL2,E,4,non-structural,
P10205,UL21,L,4,tegument,
P10208,UL24,L,1,non-structural,
P10210,UL26,L,4,capsid,
P10187,UL3,L,1,non-structural,
P04293,UL30,E,4,non-structural,
P10216,UL32,L,2,non-structural,
P10220,UL36,L,4,tegument,
P10221,UL37,L,4,tegument,
P10188,UL4,L,1,tegument,
P10225,UL41,L,4,tegument,
P10226,UL42,E,3,non-structural,
P10229,UL45,L,1,envelope,
P10230,UL46,L,4,tegument,
P10231,UL47,L,4,tegument,
P06492,UL48,L,3,tegument,VP16
P10233,UL49,L,3,tegument,VP22
P10235,UL51,L,2,tegument,
P10236,UL52,E,2,non-structural,
P10238,UL54,IE,4,non-structural,ICP27
P10240,UL56,L,2,envelope,
P10190,UL6,L,3,capsid,
P10191,UL7,L,4,tegument,
P10192,UL8,E,3,non-structural,
P10193,UL9,E,1,non-structural,
P06486,US10,E,3,tegument,
P04487,US11,L,4,tegument,
P03170,US12,IE,1,non-structural,ICP47
P06485,US2,L,4,tegument,
P04413,US3,E,3,tegument,
P06481,US9,E,2,envelope,
Q8IWB7,WDFY1,host,2,,
Q7Z2W4,ZC3HAV1,host,4,,
